profile	Rawfilename	yyyy-mm-dd hh:mm	Project	Depth [m]	Sampled volume [L]	LPM (1-2 µm) [# l-1]	LPM (2-4 µm) [# l-1]	LPM (4-8 µm) [# l-1]	LPM (8-16 µm) [# l-1]	LPM (16-32 µm) [# l-1]	LPM (32-64 µm) [# l-1]	LPM (64-128 µm) [# l-1]	LPM (128-256 µm) [# l-1]	LPM (256-512 µm) [# l-1]	LPM (0.512-1.02 mm) [# l-1]	LPM (1.02-2.05 mm) [# l-1]	LPM (2.05-4.1 mm) [# l-1]	LPM (4.1-8.19 mm) [# l-1]	LPM (8.19-16.4 mm) [# l-1]	LPM (>16.4 mm) [# l-1]	LPM biovolume (1-2 µm) [mm3 l-1]	LPM biovolume (2-4 µm) [mm3 l-1]	LPM biovolume (4-8 µm) [mm3 l-1]	LPM biovolume (8-16 µm) [mm3 l-1]	LPM biovolume (16-32 µm) [mm3 l-1]	LPM biovolume (32-64 µm) [mm3 l-1]	LPM biovolume (64-128 µm) [mm3 l-1]	LPM biovolume (128-256 µm) [mm3 l-1]	LPM biovolume (256-512 µm) [mm3 l-1]	LPM biovolume (0.512-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-16.4 mm) [mm3 l-1]	LPM biovolume (>16.4 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	137.5	104.58	0.0	0.0	0.0	0.0	0.0	393.3830560336585	92.3407917383821	29.365079365079364	4.1212468923312295	0.3920443679479824	0.02868617326448652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03353974730560122	0.03977414538751592	0.08658130249501561	0.0803870312135476	0.051438018050864155	0.017474110055962083	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	142.5	101.43	0.0	0.0	0.0	0.0	0.0	394.04515429360146	101.2816720891255	33.89529724933451	4.426698215518091	0.40421965887804395	0.04929508035098097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03359619764831264	0.04461867147746687	0.09938779223196934	0.08759700012304819	0.06041931410716839	0.04079368310444384	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	147.5	89.46	0.0	0.0	0.0	0.0	0.0	376.7158506595127	90.05141962888442	33.04270064833445	4.6054102392130565	0.42477084730605863	0.0670690811535882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0321187052755358	0.03946424294125321	0.09980080348458581	0.08770161273942392	0.0663904516154537	0.06493532710332676	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	152.5	88.83	0.0	0.0	0.0	0.0	0.0	379.6465158167286	88.01080715974334	31.250703591129124	4.244061690870201	0.39401103230890466	0.011257458065968704	0.011257458065968704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03236857310106294	0.0384227571934345	0.09492641804015325	0.08265027632473088	0.056196868894155885	0.025075734843290093	0.08312679527893316	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	157.5	112.14	0.0	0.0	0.0	0.0	0.0	371.56233279828785	81.79061886927056	31.175316568574996	5.0472623506331376	0.30319243802389867	0.05350454788657036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031679317548613486	0.03591390070567553	0.09486227353548908	0.09996768894854471	0.04638987120437342	0.04117710305508677	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	162.5	116.55	0.0	0.0	0.0	0.0	0.0	380.6778206778207	84.11840411840411	29.867009867009866	5.233805233805234	0.3946803946803947	0.051480051480051484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03245650191219381	0.03641487000604972	0.09052883087037508	0.10256610205829828	0.06352465506733473	0.07019048388742004	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	167.5	93.87	0.0	0.0	0.0	0.0	0.0	372.9626078619367	79.5355278576755	28.954937679769895	4.943006285288164	0.18110152338340257	0.010653030787258974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031798704672875135	0.03426892818537279	0.08866691191691345	0.09374519967478101	0.02574103035247634	0.007571334455760182	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	172.5	95.76	0.0	0.0	0.0	0.0	0.0	365.79991645781115	79.30242272347535	27.18253968253968	4.5321637426900585	0.3237259816207185	0.03132832080200501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031188015279832698	0.03420291258170233	0.08262090811689647	0.08735009499556487	0.046555032685937386	0.0459873029948688	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	177.5	91.35	0.0	0.0	0.0	0.0	0.0	363.2950191570881	73.12534209085933	25.374931581828136	4.499178981937603	0.361247947454844	0.021893814997263273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030974448322120256	0.031631357731787345	0.07730808240613643	0.0923293005002615	0.05411053023305015	0.026411892814807904	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	182.5	102.69	0.0	0.0	0.0	0.0	0.0	363.23887428181905	72.77242185217645	25.591586327782647	3.8757425260492746	0.28240334988801247	0.019476093095724997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03096966142319274	0.031135929253392453	0.07928930187123313	0.07684792653929895	0.04422951915831838	0.03242560599211551	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	187.5	111.51	0.0	0.0	0.0	0.0	0.0	356.96350103129765	73.16832571069858	25.325082952201594	4.241772038382208	0.34077661196305264	0.03587122231190028	0.00896780557797507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030434624568293708	0.031150717195166967	0.07801934627999801	0.08191691640356498	0.046440243434279334	0.04844313823528957	0.042621856191060334	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	192.5	100.17	0.0	0.0	0.0	0.0	0.0	354.6171508435659	70.98931815912948	23.030847559149446	3.7536188479584705	0.30947389437955475	0.039932115403813515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030234575300334802	0.030068006439617934	0.06919570395549922	0.07527376914619044	0.04107794371990954	0.02897320327146407	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	197.5	94.5	0.0	0.0	0.0	0.0	0.0	361.15343915343914	73.85185185185185	22.645502645502646	4.042328042328043	0.38095238095238093	0.021164021164021163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030791857712139912	0.031351461194492	0.06819232360445333	0.07864063049226351	0.056463413911491345	0.02186785614718236	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	202.5	100.8	0.0	0.0	0.0	0.0	0.0	367.84722222222223	76.20039682539682	22.67857142857143	3.6507936507936507	0.39682539682539686	0.00992063492063492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03136256809023583	0.032200197307099096	0.06888757570921025	0.07079948629170771	0.06716890593395158	0.011097854554296141	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	207.5	103.32	0.0	0.0	0.0	0.0	0.0	357.45257452574526	73.29655439411538	22.880371660859467	3.7843592721641506	0.30003871467286103	0.009678668215253582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03047632285998688	0.03127472471384469	0.06803847874872146	0.07273455658742549	0.04015049283129186	0.007055584337316915	0.0	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	212.5	95.76	0.0	0.0	0.0	0.0	0.0	372.26399331662486	76.43065998329156	23.015873015873016	3.780284043441938	0.4594820384294068	0.04177109440267335	0.03132832080200501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031739140960218	0.03244056489134072	0.06841469350670318	0.07701257730845751	0.08474003108437159	0.05269075888576237	0.2339482630385809	0.0	0.0	0.0																																					
bop_he570_001	HDR20210303-182000	2021-03-03 18:41:20	uvp6_sn000125hf_2021_fjord_experiment_he570	217.5	100.8	0.0	0.0	0.0	0.0	0.0	400.5059523809524	84.62301587301587	23.363095238095237	3.541666666666667	0.2976190476190476	0.03968253968253968	0.00992063492063492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03414704378141025	0.03560082950564284	0.06687831000109365	0.07197885305238497	0.04128741816627781	0.04445391832537175	0.06447936874250454	0.0	0.0	0.0																																					
