Type,Date, Time, Image_ID, xx_coord, xy_coord, yx_coord, yy_coord, ESD_in_um
ROI, 2021/03/06, 19:22:22.671, 20210306_192222.671.0.png, 92, 1392, 240, 1540, 0.0010808699938647298
ROI, 2021/03/06, 19:22:22.900, 20210306_192222.900.0.png, 1472, 108, 1540, 192, 0.0021166111350526106
ROI, 2021/03/06, 19:22:27.785, 20210306_192227.785.0.png, 140, 1056, 252, 1156, 0.0015115626932035062
ROI, 2021/03/06, 19:22:31.906, 20210306_192231.906.0.png, 980, 1996, 1064, 2092, 0.0017813937175880001
ROI, 2021/03/06, 19:22:32.806, 20210306_192232.806.0.png, 2252, 920, 2336, 1032, 0.0016492501093515186
ROI, 2021/03/06, 19:22:33.281, 20210306_192233.281.0.png, 1372, 1544, 1484, 1660, 0.0014034507274512018
ROI, 2021/03/06, 19:22:38.381, 20210306_192238.381.0.png, 2420, 536, 2500, 620, 0.0019514190458418703
ROI, 2021/03/06, 19:22:43.351, 20210306_192243.351.0.png, 1440, 1288, 1536, 1372, 0.0017813937175880001
ROI, 2021/03/06, 19:22:46.531, 20210306_192246.531.0.png, 1108, 192, 1172, 320, 0.0017674217864365037
ROI, 2021/03/06, 19:22:46.882, 20210306_192246.882.0.png, 1808, 1016, 1892, 1112, 0.0017813937175880001
ROI, 2021/03/06, 19:22:47.125, 20210306_192247.125.0.png, 1076, 772, 1144, 868, 0.001979908422099394
ROI, 2021/03/06, 19:22:47.805, 20210306_192247.805.0.png, 824, 156, 956, 348, 0.0010048415759220674
ROI, 2021/03/06, 19:22:48.266, 20210306_192248.266.0.png, 300, 716, 416, 844, 0.0013128079453352628
ROI, 2021/03/06, 19:22:54.034, 20210306_192254.034.0.png, 1976, 1884, 2104, 2048, 0.001104099636926677
ROI, 2021/03/06, 19:22:58.989, 20210306_192258.989.0.png, 948, 824, 1044, 904, 0.0018253853718913976
ROI, 2021/03/06, 19:23:05.578, 20210306_192305.578.0.png, 684, 504, 800, 632, 0.0013128079453352628
ROI, 2021/03/06, 19:23:12.960, 20210306_192312.960.0.png, 2148, 1244, 2232, 1324, 0.0019514190458418703
ROI, 2021/03/06, 19:23:13.853, 20210306_192313.853.0.png, 1084, 2000, 1196, 2084, 0.0016492501093515186
ROI, 2021/03/06, 19:23:25.678, 20210306_192325.678.0.png, 612, 1280, 728, 1460, 0.001107056863366734
ROI, 2021/03/06, 19:23:27.107, 20210306_192327.107.0.png, 696, 796, 764, 880, 0.0021166111350526106
ROI, 2021/03/06, 19:23:28.031, 20210306_192328.031.0.png, 988, 28, 1072, 108, 0.0019514190458418703
ROI, 2021/03/06, 19:23:28.726, 20210306_192328.726.0.png, 1052, 1836, 1132, 1936, 0.0017885050980297743
ROI, 2021/03/06, 19:23:37.767, 20210306_192337.767.0.png, 720, 856, 784, 984, 0.0017674217864365037
ROI, 2021/03/06, 19:23:39.340, 20210306_192339.340.0.png, 16, 1084, 112, 1196, 0.00154273221357321
ROI, 2021/03/06, 19:23:40.592, 20210306_192340.592.0.png, 1696, 1004, 1792, 1100, 0.001666341240541458
ROI, 2021/03/06, 19:23:40.835, 20210306_192340.835.0.png, 1656, 664, 1820, 748, 0.0013629301813577253
ROI, 2021/03/06, 19:23:42.000, 20210306_192342.000.0.png, 2284, 1924, 2416, 2024, 0.0013923493304436802
ROI, 2021/03/06, 19:23:46.822, 20210306_192346.822.0.png, 336, 124, 416, 204, 0.00199960948864975
ROI, 2021/03/06, 19:23:48.372, 20210306_192348.372.0.png, 696, 1796, 780, 1892, 0.0017813937175880001
ROI, 2021/03/06, 19:23:48.372, 20210306_192348.372.1.png, 164, 1472, 276, 1584, 0.0014282924918926786
ROI, 2021/03/06, 19:23:49.436, 20210306_192349.436.0.png, 2472, 1020, 2568, 1152, 0.001421060584705342
ROI, 2021/03/06, 19:23:53.412, 20210306_192353.412.0.png, 96, 356, 148, 452, 0.0022641119012557307
ROI, 2021/03/06, 19:23:55.675, 20210306_192355.675.0.png, 792, 868, 888, 952, 0.0017813937175880001
ROI, 2021/03/06, 19:23:58.288, 20210306_192358.288.0.png, 1836, 1656, 1968, 1832, 0.0010495227968600573
ROI, 2021/03/06, 19:24:02.229, 20210306_192402.229.0.png, 28, 1468, 124, 1552, 0.0017813937175880001
ROI, 2021/03/06, 19:24:02.338, 20210306_192402.338.0.png, 2164, 116, 2260, 200, 0.0017813937175880001
ROI, 2021/03/06, 19:24:04.138, 20210306_192404.138.0.png, 2644, 1928, 2736, 2028, 0.0016677896034750779
ROI, 2021/03/06, 19:24:05.360, 20210306_192405.360.0.png, 1500, 1248, 1664, 1520, 0.0007574061023571313
ROI, 2021/03/06, 19:24:05.360, 20210306_192405.360.1.png, 1392, 556, 2400, 1388, 0.00017468002552640014
ROI, 2021/03/06, 19:24:05.809, 20210306_192405.809.0.png, 2360, 1984, 2456, 2084, 0.0016326743106731593
ROI, 2021/03/06, 19:24:06.896, 20210306_192406.896.0.png, 300, 1640, 396, 1720, 0.0018253853718913976
ROI, 2021/03/06, 19:24:07.694, 20210306_192407.694.0.png, 1076, 284, 1176, 364, 0.0017885050980297743
ROI, 2021/03/06, 19:24:11.364, 20210306_192411.364.0.png, 1832, 680, 1916, 764, 0.001904389989190238
ROI, 2021/03/06, 19:24:14.570, 20210306_192414.570.0.png, 908, 676, 976, 756, 0.002168881009156596
ROI, 2021/03/06, 19:24:15.496, 20210306_192415.496.0.png, 2116, 1240, 2212, 1352, 0.00154273221357321
ROI, 2021/03/06, 19:24:16.440, 20210306_192416.440.0.png, 2424, 1948, 2504, 2044, 0.0018253853718913976
ROI, 2021/03/06, 19:24:16.992, 20210306_192416.992.0.png, 1340, 1740, 1424, 1856, 0.001620565310576655
ROI, 2021/03/06, 19:24:21.736, 20210306_192421.736.0.png, 696, 1764, 780, 1864, 0.00174540225563608
ROI, 2021/03/06, 19:24:23.832, 20210306_192423.832.0.png, 740, 1848, 852, 1944, 0.00154273221357321
ROI, 2021/03/06, 19:24:25.580, 20210306_192425.580.0.png, 1304, 1772, 1400, 1884, 0.00154273221357321
ROI, 2021/03/06, 19:24:26.261, 20210306_192426.261.0.png, 344, 196, 440, 276, 0.0018253853718913976
ROI, 2021/03/06, 19:24:35.189, 20210306_192435.189.0.png, 880, 1816, 964, 1884, 0.0021166111350526106
ROI, 2021/03/06, 19:24:35.516, 20210306_192435.516.0.png, 1236, 1984, 1352, 2096, 0.0014034507274512018
ROI, 2021/03/06, 19:24:45.147, 20210306_192445.147.0.png, 1504, 336, 1584, 416, 0.00199960948864975
ROI, 2021/03/06, 19:24:45.501, 20210306_192445.501.0.png, 2264, 1436, 2348, 1532, 0.0017813937175880001
ROI, 2021/03/06, 19:24:45.856, 20210306_192445.856.0.png, 2036, 128, 2120, 240, 0.0016492501093515186
ROI, 2021/03/06, 19:24:48.313, 20210306_192448.313.0.png, 868, 472, 952, 552, 0.0019514190458418703
ROI, 2021/03/06, 19:24:50.612, 20210306_192450.612.0.png, 1716, 1664, 1800, 1776, 0.0016492501093515186
ROI, 2021/03/06, 19:24:51.929, 20210306_192451.929.0.png, 808, 0, 908, 64, 0.00199960948864975
ROI, 2021/03/06, 19:24:54.661, 20210306_192454.661.0.png, 384, 92, 468, 188, 0.0017813937175880001
ROI, 2021/03/06, 19:24:57.552, 20210306_192457.552.0.png, 1876, 816, 2004, 928, 0.001336045288191
ROI, 2021/03/06, 19:24:58.399, 20210306_192458.399.0.png, 1760, 1156, 1876, 1256, 0.0014852726408674283
ROI, 2021/03/06, 19:24:59.591, 20210306_192459.591.0.png, 2116, 12, 2212, 92, 0.0018253853718913976
ROI, 2021/03/06, 19:24:59.961, 20210306_192459.961.0.png, 1952, 528, 2036, 612, 0.001904389989190238
ROI, 2021/03/06, 19:25:00.933, 20210306_192500.933.0.png, 2020, 508, 2104, 620, 0.0016492501093515186
ROI, 2021/03/06, 19:25:02.685, 20210306_192502.685.0.png, 2636, 1992, 2704, 2092, 0.001939906148632997
ROI, 2021/03/06, 19:25:04.350, 20210306_192504.350.0.png, 1140, 1536, 1236, 1620, 0.0017813937175880001
ROI, 2021/03/06, 19:25:04.740, 20210306_192504.740.0.png, 2428, 1660, 2576, 1776, 0.0012208865901547942
ROI, 2021/03/06, 19:25:07.860, 20210306_192507.860.0.png, 1204, 1596, 1300, 1696, 0.0016326743106731593
ROI, 2021/03/06, 19:25:08.553, 20210306_192508.553.0.png, 268, 2060, 380, 2188, 0.001336045288191
ROI, 2021/03/06, 19:25:08.647, 20210306_192508.647.0.png, 1140, 412, 1224, 496, 0.001904389989190238
ROI, 2021/03/06, 19:25:08.763, 20210306_192508.763.0.png, 876, 672, 976, 752, 0.0017885050980297743
ROI, 2021/03/06, 19:25:09.347, 20210306_192509.347.0.png, 940, 1500, 1008, 1596, 0.001979908422099394
ROI, 2021/03/06, 19:25:12.814, 20210306_192512.814.0.png, 1556, 1252, 1656, 1352, 0.0015996875909198
ROI, 2021/03/06, 19:25:14.205, 20210306_192514.205.0.png, 2504, 0, 2588, 72, 0.00205697628476428
ROI, 2021/03/06, 19:25:21.335, 20210306_192521.335.0.png, 152, 0, 668, 340, 0.00038191865004487174
ROI, 2021/03/06, 19:25:22.954, 20210306_192522.954.0.png, 764, 1128, 848, 1228, 0.00174540225563608
ROI, 2021/03/06, 19:25:25.445, 20210306_192525.445.0.png, 1836, 364, 1948, 448, 0.0016492501093515186
ROI, 2021/03/06, 19:25:26.653, 20210306_192526.653.0.png, 616, 2028, 716, 2096, 0.001939906148632997
ROI, 2021/03/06, 19:25:31.385, 20210306_192531.385.0.png, 1268, 1412, 1384, 1480, 0.0018011576415107333
ROI, 2021/03/06, 19:25:34.609, 20210306_192534.609.0.png, 2088, 1136, 2156, 1216, 0.002168881009156596
ROI, 2021/03/06, 19:25:39.249, 20210306_192539.249.0.png, 2040, 1160, 2140, 1276, 0.0014852726408674283
ROI, 2021/03/06, 19:25:41.723, 20210306_192541.723.0.png, 1636, 1272, 1732, 1368, 0.001666341240541458
ROI, 2021/03/06, 19:25:42.773, 20210306_192542.773.0.png, 624, 1320, 740, 1416, 0.0015159000412671869
ROI, 2021/03/06, 19:25:42.980, 20210306_192542.980.0.png, 2036, 1148, 2116, 1228, 0.00199960948864975
ROI, 2021/03/06, 19:25:46.762, 20210306_192546.762.0.png, 1596, 376, 1696, 508, 0.0013923493304436802
ROI, 2021/03/06, 19:25:46.994, 20210306_192546.994.0.png, 716, 1672, 828, 1788, 0.0014034507274512018
ROI, 2021/03/06, 19:25:52.675, 20210306_192552.675.0.png, 1708, 1964, 1792, 2048, 0.001904389989190238
ROI, 2021/03/06, 19:25:53.051, 20210306_192553.051.0.png, 560, 1292, 644, 1420, 0.0015427322135732101
ROI, 2021/03/06, 19:25:54.671, 20210306_192554.671.0.png, 1720, 128, 1788, 212, 0.0021166111350526106
ROI, 2021/03/06, 19:25:55.237, 20210306_192555.237.0.png, 844, 1252, 956, 1320, 0.001833039012888576
ROI, 2021/03/06, 19:25:59.701, 20210306_192559.701.0.png, 1312, 2064, 1408, 2192, 0.0014430938456825788
ROI, 2021/03/06, 19:26:00.192, 20210306_192600.192.0.png, 2324, 324, 2408, 408, 0.001904389989190238
ROI, 2021/03/06, 19:26:00.310, 20210306_192600.310.0.png, 924, 1256, 1024, 1356, 0.0015996875909198
ROI, 2021/03/06, 19:26:01.172, 20210306_192601.172.0.png, 224, 1256, 292, 1384, 0.0017146509907048386
ROI, 2021/03/06, 19:26:01.417, 20210306_192601.417.0.png, 516, 2088, 600, 2192, 0.0017115077231840835
ROI, 2021/03/06, 19:26:03.490, 20210306_192603.490.0.png, 1188, 672, 1268, 756, 0.0019514190458418703
